view_count,cart_additions,time_spent,price,discount,rating,past_purchases,avg_spent,purchased
7,4,133,2513,53,4.764493357040218,34,2591,1
8,2,186,4627,34,3.755452759726175,38,1335,1
9,1,293,1888,58,4.9876906703221024,13,2784,1
8,3,29,1222,42,2.5243691652419793,21,4934,1
2,0,66,172,1,1.3770918572544444,1,2455,0
1,0,245,1794,27,3.9877530608386142,43,4632,1
8,4,32,1211,18,4.570822450060623,7,576,1
1,0,209,2202,25,4.029825342997469,12,988,1
2,1,186,990,56,1.7855467561464553,5,355,1
7,1,55,3527,56,4.324468733000421,22,420,1
4,3,161,3641,53,4.75849074893145,12,1377,1
5,2,24,2054,31,3.7004830779933218,9,3527,1
4,1,129,3722,28,4.7192238915976805,35,2551,1
3,0,132,1527,7,1.501114292963876,7,4814,1
3,4,241,3077,55,3.3211652903455455,23,1618,1
1,4,245,1996,14,4.365677684930311,5,4309,1
3,4,155,3331,6,3.539326550785319,21,2377,1
4,0,164,882,33,1.6354000302313767,28,3343,1
9,2,246,1898,19,2.4917211462246116,0,941,1
9,1,167,3062,26,1.4789255433120903,10,796,1
2,2,299,1940,52,2.5667212630043466,35,1930,1
5,0,124,2113,11,2.249522991551163,45,3477,1
5,0,173,1383,36,3.6334010853465606,39,2435,1
5,0,163,3422,17,3.741934331545653,6,1583,1
7,3,273,2249,0,1.761443540483115,35,4045,1
3,4,146,1336,20,4.131149793567885,44,2831,1
7,2,10,3128,49,1.3397081363499361,35,1364,1
9,0,288,752,9,1.122911069835498,37,2986,1
6,4,229,1534,5,3.0343142656075233,36,2574,1
2,4,138,2751,57,1.2560697130709122,35,1144,1
7,1,282,717,17,4.870648966924615,19,1085,1
8,3,31,727,31,2.757921207161558,15,1807,1
8,0,297,4277,49,1.6307122098019637,23,150,1
6,3,79,3378,18,1.9716931935999513,26,3441,1
6,1,115,3397,54,3.214518281581882,44,4311,1
8,3,123,3171,68,4.696006400268494,1,3140,1
4,3,186,3043,23,1.3937131321490415,29,1882,1
7,3,161,4952,23,2.1630285198548984,34,2495,1
2,2,65,3509,52,1.8372833867446712,20,1966,1
4,1,275,1064,57,3.2613085578834538,18,3282,1
6,3,246,1303,41,3.6032200683090903,4,4236,1
5,3,40,1150,19,1.2112467978416213,21,2424,1
8,2,44,2850,32,4.178546163075164,44,3821,1
3,3,225,296,35,4.400613661875532,11,4588,1
4,3,20,4972,25,1.4974572942375084,45,1730,1
2,0,199,3841,0,4.368577755401645,49,3278,1
5,4,109,2625,22,2.6503154476860313,46,3202,1
8,1,267,4548,36,1.4105219339469977,9,3289,1
7,0,165,695,53,2.9748657417379056,12,4892,1
8,3,53,3760,69,4.173873410181788,26,4222,1
4,0,162,4659,16,4.956783348296675,1,320,1
1,1,214,1688,27,4.90409416391616,12,3199,1
3,1,216,1216,54,2.9632945177493526,39,566,1
4,3,91,4590,68,2.2268007399627505,12,2273,1
7,0,152,1339,66,4.775380495868424,17,3682,1
3,1,182,1790,25,2.42289616226814,33,1959,1
9,2,26,2601,47,4.211857129547637,8,4029,1
1,4,103,656,22,4.935739120885923,36,2120,1
3,3,248,3110,6,1.4153489597559457,39,2094,1
7,2,268,1680,44,3.2705696571119467,14,3312,1
2,0,54,2826,4,3.2834570253733006,3,2337,0
6,2,271,2871,49,3.566809805487773,37,3198,1
4,2,143,1275,8,4.3583275541241555,29,4192,1
9,4,89,2940,63,3.3621660469247163,40,387,1
9,2,243,2770,47,4.793839056510284,48,490,1
9,4,61,1483,30,3.9367226029633744,21,4332,1
2,0,157,2139,37,2.152973927914041,13,4746,1
4,0,17,4897,22,4.5653966419003815,40,841,0
2,0,78,996,16,4.948160660075172,31,4894,0
3,2,110,751,62,3.292951164694787,8,1106,1
9,3,226,2170,46,3.084543759914874,13,4749,1
6,4,63,3310,39,1.0869596129125183,24,2364,1
2,3,163,4516,16,4.338071307816701,36,1063,1
9,4,271,746,20,4.2683882531717865,38,2410,1
1,3,184,4188,69,2.7382905715524677,23,3795,1
1,2,225,648,4,3.5401523940647133,25,2707,1
7,1,108,482,54,4.157258849356906,43,3880,1
8,0,266,895,44,4.912797894809323,2,1350,1
1,2,53,870,25,4.514338780007532,38,1659,1
9,4,96,2863,67,1.5774179275666884,9,1094,1
4,4,259,3469,38,1.5211970316900447,9,4231,1
9,0,297,4330,68,3.948874615487611,22,2867,1
7,2,171,2001,67,4.181199548630449,23,235,1
5,4,213,1435,9,4.98019750780066,4,2507,1
4,1,16,989,55,3.004342950700885,30,4864,1
1,1,247,630,46,1.7975054001254054,25,4837,1
1,0,251,1987,14,2.6498702616658303,38,4642,1
6,0,64,587,19,1.151640405852008,42,2293,0
8,0,168,4071,20,1.787361676590085,10,1413,1
6,4,275,1924,33,2.4760110906082353,27,1310,1
8,2,208,448,41,3.8121673890272367,13,3904,1
3,0,200,3270,42,3.862524169160955,22,1673,1
8,4,291,4269,64,3.887607474042524,7,3068,1
6,2,58,3150,35,1.5746446134343586,3,4170,1
4,3,174,1378,60,4.599048984345044,4,1840,1
4,2,65,884,26,1.2333702214454956,13,3174,1
2,3,226,1045,20,4.054576098522121,39,1692,1
2,2,120,725,7,2.3624589654011423,12,3970,1
7,0,228,1378,48,2.151166044134096,48,3063,1
3,4,103,4747,23,2.0445397011821838,25,962,1
6,0,25,4300,68,2.128514772101883,35,4209,1
9,2,230,2601,46,3.089791159556174,31,300,1
4,0,279,3626,9,2.872242404700371,1,2402,1
6,3,176,3174,63,4.930148588891758,17,596,1
8,3,10,1095,12,3.364713270732013,15,385,1
9,1,273,1008,18,1.8636422717425019,9,183,1
7,1,169,3629,45,3.4866860771637342,28,2669,1
2,0,48,4919,11,4.7943353147099605,48,622,0
6,2,42,1887,47,2.1344422502646854,32,575,1
8,1,69,4825,48,1.2174681688657025,36,2750,1
8,2,212,641,8,2.1528660930165606,8,3602,1
6,0,91,1489,24,4.7083250209681236,10,2213,0
5,1,261,4826,37,2.1262861703846485,23,447,1
1,2,104,370,37,2.723175165898767,25,4872,1
6,4,295,4463,17,3.7255693634699467,34,2722,1
4,4,113,4761,17,3.0449245023708134,28,2968,1
4,1,122,4319,56,2.249446241482573,13,1502,1
7,2,117,4586,1,2.3129800542690373,22,3155,1
4,3,68,2677,29,4.843237682905311,4,4356,1
3,1,75,175,46,1.815717104784213,38,4026,1
1,0,36,331,56,1.562223820615868,47,802,1
1,2,137,186,41,3.6769125876545683,35,4495,1
9,0,132,4791,61,3.4574870412662433,39,847,1
4,3,71,1486,42,4.387280422961964,17,4639,1
5,2,106,1464,44,2.954938233167213,9,4829,1
5,1,225,2129,16,1.0389033783464474,22,822,1
3,3,28,4777,49,1.9259863061107128,47,1762,1
8,2,138,4269,69,3.7349027299576285,29,3756,1
9,3,253,532,51,2.3024940042186923,17,4130,1
6,3,273,4049,44,3.610434413135545,36,4638,1
8,0,282,2180,2,4.684877170821288,10,1550,1
1,4,98,1492,37,1.4492317774615238,22,2958,1
1,2,61,688,58,1.7319275805975716,27,3811,1
5,3,255,1858,5,4.58276858378564,29,2128,1
2,4,278,4432,68,1.615694747353857,37,4638,1
7,4,125,3728,17,1.7701439536877772,38,1464,1
6,4,36,4889,55,4.044725202482521,27,4766,1
6,0,228,830,66,1.0567776364971495,6,3245,1
2,2,118,370,34,2.1752483858760496,7,4844,1
7,3,177,3190,51,3.257749860571693,1,1646,1
5,2,183,1529,1,2.0661411939426997,18,3741,1
1,2,197,2062,38,4.954711081957928,46,310,1
3,2,266,2005,19,1.8394904913298844,26,2106,1
3,4,39,976,48,1.953938361404835,22,3222,1
2,4,67,3696,23,1.363000835992104,33,1638,1
6,0,39,1988,20,1.1425693411316917,44,4945,0
5,3,131,3696,24,2.8500747463145637,27,2850,1
6,4,74,3979,21,2.205191105216717,33,535,1
8,1,43,2757,15,1.3056142974940883,22,3248,0
6,2,250,981,54,1.7745733338060776,7,1144,1
9,4,95,1487,36,1.927677532740152,27,281,1
2,4,81,1756,64,2.8384472614629894,49,4838,1
7,1,109,125,63,4.621831227762518,46,4079,1
5,4,83,1581,62,3.0664832717076385,6,1244,1
7,0,263,4765,18,3.521452995233538,35,3923,1
8,1,182,3557,6,2.3166320237498086,29,3216,1
6,3,195,1310,17,3.1746967077863575,38,1110,1
1,3,166,3896,17,2.536048987777058,37,548,1
9,4,104,1879,31,1.5338538327272189,21,756,1
2,3,155,2736,10,1.258513060105963,38,221,1
8,1,269,4073,17,3.3108661540868276,10,1383,1
5,4,208,1171,54,1.6578797288447715,17,1933,1
3,2,269,1146,23,3.0396804497821357,24,3488,1
8,4,117,420,35,3.6312266105546054,47,2021,1
6,4,63,2363,31,4.172391424646163,0,4165,1
8,0,298,3659,5,2.3903373689288316,25,2741,1
9,0,74,3781,58,1.953194111414156,15,183,1
5,3,96,3314,11,1.4677278619875547,19,4949,1
2,3,23,4115,8,1.4402637774290024,37,1855,1
2,0,276,4893,14,4.121704782115459,34,1197,1
2,4,288,1085,41,4.949186962123903,16,4360,1
8,0,221,2309,1,4.84451296214006,9,4739,1
1,2,105,3305,3,2.754585964996105,43,3224,1
4,0,290,1606,36,3.2737112463316262,37,457,1
5,3,190,1893,48,3.5043168587134503,28,3761,1
2,4,294,3257,10,3.460557096365673,23,355,1
2,2,54,3543,18,1.3171392325005549,41,1578,1
8,1,279,1779,34,2.3198753624650506,43,3059,1
1,4,207,4622,0,2.5355366847289464,9,3846,1
9,2,124,2923,9,1.2859404853165022,14,4521,1
7,3,275,990,29,2.0874908966850083,43,1622,1
7,1,285,740,21,1.6063723174555493,11,1218,1
5,3,59,2675,23,3.2294621187291046,29,2951,1
8,4,109,2391,41,4.596610047820249,39,4275,1
4,1,62,1983,6,2.667599397856896,5,3302,0
5,2,182,1624,35,1.4703826026502336,19,2447,1
5,4,248,3720,2,2.12319058154514,45,1514,1
9,0,188,872,41,2.241636911165647,9,179,1
8,2,292,3521,56,2.4456190361153216,11,1574,1
6,4,125,3530,7,4.9889367450213555,48,729,1
4,1,208,3805,33,4.096594505278697,11,3214,1
9,4,21,1404,62,3.0782863751660727,5,4111,1
3,4,166,1884,64,3.212132227398408,26,2324,1
3,3,33,3284,7,2.5322043874203386,12,897,1
4,0,93,3656,24,3.138338011662462,8,433,0
8,4,288,3006,53,3.5184830267356717,17,4493,1
8,3,173,1240,2,3.8001876132972696,35,1650,1
6,3,188,2087,48,2.4916357335982418,29,3865,1
8,2,214,676,67,1.4312539761949923,21,892,1
7,0,247,3974,53,4.258901071111037,23,1197,1
6,4,275,2483,20,2.4545732154163162,31,4553,1
9,3,232,1153,41,4.781358951635193,9,3287,1
4,2,158,3958,66,3.218421317976474,11,2755,1
1,2,25,826,64,4.681428216215861,36,318,1
3,3,131,2797,43,4.669847269995115,35,1129,1
2,2,107,1785,52,1.9473011598174272,25,3570,1
8,4,213,1669,19,4.509958867687509,13,2630,1
4,1,164,1166,57,4.052738250451215,1,238,1
5,0,235,4789,5,4.5086858379796455,43,1011,1
4,3,50,2191,47,3.3633909200624066,14,1116,1
9,3,86,1267,34,2.036677738809023,21,2877,1
6,0,96,326,2,2.915872144120233,17,3627,0
6,4,90,4108,42,4.849733084698891,5,2563,1
2,3,146,3769,51,3.1195122791754537,38,4158,1
1,1,154,3321,27,3.542138724052053,16,2282,1
6,4,122,3132,39,3.1736873035969575,29,3858,1
9,3,95,3069,46,4.229630672939584,34,1578,1
3,1,215,1211,1,4.588208874550867,40,440,1
3,2,47,2089,42,1.5340503966403745,28,2057,1
8,0,182,484,37,1.7004511431952665,14,838,1
9,1,55,4730,69,4.652059899945812,37,831,1
4,1,89,3106,68,3.2986367533136756,34,4706,1
3,2,228,1927,17,4.723468660687198,23,2781,1
5,4,252,3082,32,3.9566975292975983,27,315,1
2,1,21,4409,60,1.3646471444275,26,3409,1
8,2,221,890,6,2.801362304351045,9,4765,1
9,4,292,2890,44,1.734607910772744,34,3727,1
1,3,35,2256,31,3.4936241488063513,10,3279,1
2,0,50,1762,5,1.8868766318420138,22,2052,0
8,1,176,4453,2,2.575311157689456,14,4861,1
2,1,198,2467,43,1.9408399445262496,47,3608,1
5,0,159,3281,23,1.5885575064652153,25,3468,1
8,4,277,1611,55,1.5384917136656693,2,3165,1
2,3,128,3676,63,2.7805050676160703,1,356,1
4,1,275,570,19,1.7388198120151088,15,4016,1
8,1,47,205,13,4.854912358947729,13,3199,0
9,2,242,2168,24,4.282251063845525,28,2675,1
3,3,252,2163,9,1.8387710095509826,32,212,1
7,1,288,4415,65,3.2717796574281786,34,1530,1
1,3,216,4003,47,2.4941758910355225,1,1423,1
9,1,268,286,24,2.794072855995546,4,3879,1
9,1,104,4239,63,1.8108210930722146,8,3293,1
8,3,205,4293,12,4.810025539318497,15,2165,1
6,3,41,4113,29,1.906857433182672,16,584,1
4,0,61,1909,8,1.4920499368871,39,4908,0
3,0,23,4579,15,4.86385986340622,30,1310,0
2,3,158,4265,22,2.0727222532359098,29,1322,1
6,2,285,3078,37,3.035170520544554,34,1873,1
8,4,132,3069,63,4.011440521681353,10,2658,1
1,4,165,3398,38,4.979871608425173,38,2943,1
6,0,167,1949,60,3.0366677881196575,22,703,1
1,1,185,844,18,4.582906953006798,37,4860,1
6,3,258,695,57,4.601326449057545,6,2820,1
1,2,192,140,43,1.2669293611271,19,1982,1
4,2,54,4502,13,3.0367705345075775,13,3920,1
5,0,270,1570,42,1.1493306778216108,6,2905,1
7,1,215,419,5,4.740080420427052,31,895,1
5,4,37,1226,38,3.710592245144492,33,2771,1
9,2,242,3960,47,4.610815782537451,39,1679,1
3,2,295,3641,62,3.9604165313055013,9,3398,1
8,4,91,4903,66,1.3131720601690842,16,1050,1
3,2,164,3085,63,3.1057508486978853,3,2029,1
2,1,131,1825,7,2.306661410458378,31,2049,1
1,2,242,112,5,2.8226749301164116,32,4064,1
4,0,299,1320,16,2.9239331073937915,14,2159,1
3,4,262,3968,47,3.4643511618685405,25,3395,1
4,2,298,2749,25,4.683621453213625,6,4099,1
3,4,266,561,15,2.7377482581548325,22,557,1
4,0,36,4332,40,3.3140182389998127,16,753,1
9,2,66,3948,22,1.9783191007916767,23,3498,1
2,2,271,4795,43,1.5687874601014706,10,1059,1
6,4,191,4257,42,1.0876964511856664,40,1997,1
6,3,229,1716,31,2.4412684640943128,24,327,1
2,2,237,2808,56,3.1976859826535335,36,2319,1
5,1,43,3102,37,1.6799843043407279,14,1882,1
5,3,272,4612,65,4.624948204003819,49,3426,1
8,0,258,2582,46,2.199886772315457,22,4277,1
6,3,51,2549,43,4.843237242294701,9,1648,1
2,4,226,2503,66,4.653380570736228,8,3679,1
7,2,57,2898,51,1.855516659899167,3,1274,1
5,2,57,2301,22,3.1659484340577095,24,2444,1
6,4,41,3078,1,4.173999507831701,41,3893,1
1,1,63,2321,61,2.268819866219397,16,4911,1
1,3,106,1764,63,1.2044174037594062,32,389,1
6,3,203,3569,54,3.2554240208992247,45,1742,1
6,0,54,4080,55,4.468774759261445,28,1377,1
6,3,48,389,39,4.8443789049106405,32,4428,1
6,2,150,3396,40,3.801733645344356,10,2239,1
2,4,149,3596,22,4.267147699771091,6,184,1
1,1,289,1889,6,1.251894988874803,42,4593,1
6,1,73,2036,37,4.8756043859277876,28,4693,1
4,1,109,3367,30,1.776519648263713,16,3727,0
1,1,208,2527,7,4.017887804942539,31,2837,1
9,2,74,3099,17,3.053908200938216,15,3889,1
2,2,63,3287,25,4.457850496707237,41,4780,1
1,1,84,3236,20,4.944378691405531,23,110,0
9,4,152,2851,64,4.859407205054479,40,1447,1
1,2,45,951,26,4.4208691375514135,17,3199,1
8,4,212,1255,46,1.5343593992969367,2,4886,1
5,1,171,3650,19,1.2848218305440007,18,829,1
8,3,59,1374,29,2.895222073459961,44,329,1
4,3,297,1959,49,1.8199870494542911,8,3694,1
9,0,133,3465,23,4.012029358754852,32,1572,1
5,2,176,3190,57,2.651244677559291,23,1588,1
9,3,208,3702,28,2.923239750765315,26,400,1
2,3,123,1661,69,2.2957599861359044,20,926,1
6,4,25,4925,29,1.4283029114352352,8,3188,1
3,0,73,3972,44,2.5362131795390486,25,4480,1
7,0,284,936,4,1.2616079941496303,19,920,1
6,4,53,2071,51,4.305961946735124,12,446,1
9,3,133,2362,12,2.2908553724190615,14,637,1
8,1,294,4438,65,4.285426711352441,48,901,1
2,4,293,2434,14,1.4740419111341745,11,1305,1
9,2,23,394,69,2.765889894015291,24,4542,1
4,3,216,4061,44,3.0277697470623295,29,3299,1
3,4,39,4086,6,4.198430674914596,16,3247,1
2,1,93,4829,68,2.6113089404367456,39,1546,1
2,1,234,3938,34,3.6532869049267105,21,2151,1
9,2,46,3473,35,1.9060967287909039,49,1766,1
5,3,110,2916,40,3.230539481781045,34,4602,1
2,1,33,4204,31,3.0762682039205322,13,4945,1
1,1,228,2803,26,4.052021903990442,45,1825,1
7,3,94,2396,18,2.0182669339311095,43,3086,1
1,4,229,514,59,3.9162343543101925,9,2600,1
4,0,299,1232,53,2.189190915081853,22,4885,1
9,3,66,4284,24,2.7069143407135563,12,2612,1
5,3,64,1594,14,1.9364748979529742,22,3583,1
9,3,214,1365,61,4.35181796370208,20,1932,1
2,0,253,3056,33,3.8594464171781104,6,1463,1
4,4,170,3438,11,4.560547951328628,13,1156,1
5,3,82,396,42,1.3676885740104199,12,1383,1
9,3,270,3318,64,1.267975828796171,22,3571,1
9,0,231,3560,13,3.9568089996769453,28,3569,1
8,1,42,257,52,4.93720786051272,31,3553,1
6,0,105,278,34,3.465589812884595,15,3639,1
8,3,233,828,62,1.7485650955812555,16,2033,1
6,3,243,4543,58,3.9206651801519103,32,188,1
9,2,19,1275,15,2.06109105888465,14,1779,1
6,0,240,4444,14,1.439417175848925,6,362,1
3,2,148,886,18,4.417077908201996,19,2908,1
2,2,95,3808,61,4.537299599806356,19,471,1
7,2,18,2157,40,1.6113810749104975,28,1702,1
3,0,146,4515,49,4.068973025408142,10,1366,1
4,1,112,157,11,3.12408784996368,29,4322,0
2,1,291,662,67,3.328328644560443,43,480,1
6,0,273,3209,18,4.955540912366661,20,2787,1
2,4,116,3797,54,1.7018013652587904,12,147,1
9,3,19,1829,1,3.355494648021073,40,3188,1
3,2,87,303,41,4.522649360840214,0,500,1
9,1,274,4474,40,4.5276032234076595,30,3124,1
1,2,34,223,41,4.294975037169779,26,1258,1
8,2,182,4846,34,3.0508369736216623,31,4542,1
9,3,161,2734,15,2.4632228657032944,0,4430,1
7,2,294,3127,43,2.942770148916478,39,2426,1
3,1,137,187,3,1.7460946059863232,24,3281,1
1,0,121,877,27,4.793885361965865,37,3684,1
4,0,271,4540,47,4.3872618132574726,45,4358,1
8,3,165,1027,1,1.5933366229246606,25,476,1
4,3,145,1023,35,4.907988551080926,38,3821,1
2,3,140,4915,39,1.8738492128842785,24,1488,1
5,4,139,4758,6,3.2288189825053366,2,1353,1
8,4,91,3756,14,3.433698221349547,48,4837,1
7,2,202,4183,12,4.626692575175733,24,3496,1
3,1,208,2433,4,3.1967597478246073,20,2564,1
1,0,125,1692,52,1.5604049714577966,18,4345,1
6,2,174,4802,9,2.3397597661808884,28,1280,1
7,2,284,4781,3,4.854223528589243,18,4983,1
3,3,219,4917,39,2.751063610873679,25,3641,1
2,3,167,1048,8,1.0494401145916115,47,3719,1
5,0,225,3519,50,1.904461802603048,41,882,1
5,0,111,2977,6,4.194461662823121,45,138,0
5,0,76,4392,31,4.80086042331336,43,2202,1
7,4,275,3159,67,4.800224796028628,19,2595,1
3,1,173,3917,59,2.035693814173921,21,1214,1
1,3,275,4917,13,4.731295629905167,14,1059,1
9,4,165,2904,24,2.10756457631692,35,4851,1
8,4,216,305,38,4.842206237420939,13,3761,1
2,2,129,4041,58,1.1600428585670635,8,2794,1
7,0,94,4321,48,4.784881257877981,9,4966,1
1,1,277,3913,26,1.8757016677358216,10,3836,1
8,3,28,2095,36,1.3274540616450357,9,482,1
1,1,246,4567,26,4.014464745693548,29,320,1
8,0,271,2173,26,1.1572533764604125,23,1216,1
2,3,118,4505,28,4.042792015957424,33,2756,1
1,2,94,4758,49,4.839727587643601,1,292,1
2,0,94,1522,54,1.6277416076269846,40,769,1
7,1,146,1027,66,3.1015176406897953,8,3191,1
7,1,163,2747,50,1.1754519416194196,21,2119,1
3,3,152,591,2,4.2305193917850765,5,3079,1
9,3,273,1999,36,4.421629491418541,23,4124,1
4,4,13,4976,68,1.88597748437541,10,4953,1
5,0,222,2539,64,3.3707081649738355,29,4267,1
3,3,148,466,15,1.7334372706412542,17,4344,1
8,2,47,4253,1,3.673785736422417,32,2285,1
2,1,183,2615,39,4.164377533097323,31,3246,1
7,4,43,694,50,1.9411172661263065,37,4647,1
3,1,69,736,56,2.8942967394763373,29,1779,1
4,3,229,2503,36,2.5419748314638215,19,3747,1
2,3,218,888,10,2.3772434507246274,21,2767,1
6,1,224,4860,32,2.0685965374398902,21,2495,1
9,0,269,338,23,2.841040595486911,10,4000,1
7,0,265,503,43,1.80475501918117,32,2647,1
2,3,101,2291,39,3.1175470901545235,18,1687,1
5,0,287,685,34,4.564575934751627,33,4568,1
3,1,285,4625,34,2.63222347295654,15,4972,1
1,4,286,4600,58,2.8749405220713466,1,290,1
1,1,76,1720,21,4.5389380628344025,44,2002,0
2,1,80,604,2,1.6296825886236626,12,3657,0
6,3,222,1797,25,3.025841689656853,9,2553,1
3,0,107,971,59,2.8686378409597397,49,1379,1
2,3,68,263,47,2.7050293556535676,16,2501,1
7,4,50,1934,67,2.1369152821471826,6,4357,1
8,0,51,1622,32,2.6114411700596047,8,357,1
8,3,179,3828,56,2.206917256706734,20,4155,1
6,3,101,3060,41,4.105263578806866,37,2088,1
3,3,78,1751,5,2.060078494751078,43,268,1
3,1,253,1225,11,3.8142413866942495,18,4938,1
2,1,56,2048,59,2.8878735967171356,42,4780,1
9,0,19,566,50,2.2934221254367566,20,4771,1
7,3,275,2325,42,4.5481614988996615,26,3277,1
2,1,211,1781,55,4.761701332140536,15,3941,1
2,3,279,4551,39,4.592365452388346,5,2786,1
2,2,125,1874,27,3.3840137740158274,10,3472,1
3,3,115,4868,51,3.4333359261782124,25,3476,1
5,2,101,4323,67,4.84979812968751,17,2334,1
1,0,68,3163,28,1.2533955233169602,13,2492,0
6,3,39,2756,37,2.693133403498364,9,2969,1
1,3,299,3132,31,2.9743890167634848,17,314,1
4,1,64,3721,39,1.0820086448652022,11,2719,1
7,4,117,3184,35,1.2561732140163864,1,2552,1
7,0,119,323,18,1.3591561441472684,21,2208,0
7,4,279,1972,28,3.0162885401238944,5,4263,1
3,1,29,1625,15,2.355028942514292,49,625,0
5,1,173,1839,16,1.6637179906433026,22,1305,1
1,0,200,2785,56,1.2556255457199428,1,535,1
5,0,107,1988,13,1.5255495624230013,27,2372,0
3,3,154,281,64,1.4414127478807366,1,3520,1
5,4,175,4288,28,1.4828287723488653,46,4408,1
8,4,97,3897,40,3.1279813771400224,43,1254,1
8,4,237,2146,25,4.6803746338711925,2,541,1
1,2,171,470,55,4.8776077500504424,13,4330,1
7,2,108,4692,65,4.812284563031785,6,4928,1
3,3,173,4229,12,1.437503009131686,12,4505,1
3,3,23,768,31,2.2643902186352096,48,3949,1
3,4,120,584,43,3.55680384543801,49,4066,1
8,2,182,4073,35,1.812659000013869,35,1569,1
4,3,217,797,31,3.0845446206097695,23,3184,1
4,4,257,661,10,3.26768378114591,24,2746,1
7,3,17,1317,55,3.0894365135656057,7,2675,1
3,1,75,2510,61,4.874844423467408,38,643,1
5,1,151,616,64,4.60535509475592,27,2227,1
9,4,257,3872,38,4.827906776969989,36,4144,1
5,3,16,598,46,2.0356945459380364,26,409,1
7,3,273,399,17,3.115592862409082,23,677,1
4,1,256,1850,27,1.6636526638037012,42,128,1
4,0,10,3828,52,1.5484900792828435,7,2592,1
8,3,270,227,21,1.7528420901897235,34,4998,1
6,2,143,1669,64,4.62437187726238,43,703,1
7,0,53,322,54,3.0651833903392416,47,3878,1
8,3,257,4809,21,3.6615528061595235,15,575,1
1,0,131,2759,30,3.803547062780595,4,3809,1
1,4,183,1055,64,2.7736163291937515,0,148,1
3,0,256,220,31,3.613971654464707,7,1490,1
5,3,295,2197,23,1.1630427134372234,38,1698,1
6,2,192,4817,10,3.98970370619396,41,1003,1
4,4,247,4621,48,1.5886434704038717,44,4347,1
2,3,23,505,47,1.517433835620956,34,659,1
8,1,23,2059,45,4.402846644154749,35,1792,1
7,4,212,1786,51,2.9949200750759206,36,522,1
9,1,122,2600,53,2.583819106899238,17,2967,1
2,0,126,660,3,3.920236386706314,30,1570,1
6,1,216,3090,32,3.5236075183787223,45,3037,1
7,4,237,1866,45,3.4882037103893295,24,1592,1
3,2,267,1992,19,3.1826048070763164,41,2601,1
3,4,169,4962,19,2.563925150373318,33,2393,1
4,3,23,4535,3,3.0958151510173924,0,1951,1
2,3,121,4594,44,4.447804192676532,19,3990,1
6,2,188,366,42,2.9530732734878966,40,545,1
9,0,120,2338,31,4.380599337412869,40,872,1
7,3,20,2682,11,3.381371339834336,30,1603,1
4,2,218,2261,38,2.8136707714219638,3,2625,1
8,3,207,4570,43,3.0898220877893947,4,2247,1
5,1,155,3955,10,1.0433141508545636,35,1106,1
2,0,105,2511,22,3.103929312840722,48,900,0
4,2,53,4076,56,3.7875228629048063,34,3034,1
9,4,112,3352,24,1.775663921192674,32,2442,1
3,4,118,1119,31,4.349030065621072,15,3301,1
